rank,track_name,track_id,artist_names,artist_ids,album_name,album_id,popularity,duration,explicit,release_date,album_type,isrc,copies,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,total_artist_followers,avg_artist_popularity,artist_genres,main_genres,lyrics
1069,Kyoto,7eNwwoxDR8KVzNAuGvliAO,Omar Courtz|De La Rose|Haze,3E12tRURRvPfHz0hAMCFYc|54seKvtsZauR1iauN0ptpo|77iZVjeYoYSl5P0K9mIiUE,Kyoto,6YOCVR0kA8mO2nWE8LINKa,81,4:07,1,2023-07-14,single,USDXS2302212,1,0.732,0.753,9.0,-4.269,0.0,0.0512,0.235,1.74e-05,0.568,0.405,94.978,247840.0,4.0,4347106,77.66666666666667,"[""reggaeton""]",Latin,"Pa' mí es cabrón, baby, siempre que te como
En mi cuello, tu hickey es como el oro
Woh-oh-oh, yo no sé ni qué somo'
Me da contigo la nota cuando me drogo

Papi, se siente cabrón contigo, ey
Si tú ere' un sueño, me quedo dormida, ey

Papi, cuando estés solo
Llama, mi cielo
Nos alejamo' del mundo
Pensando que este es el cielo (el cielo)
Y cuando nos vemo', nos encendemo'
Solo tú y yo, así nos entendemo'
Nos encontramo' y ahí nos perdemo' (ey)
No compré pasto y comoquiera lo prendemo'

Mami, cuando te sientas sola (sola)
Llama (llama), mi cielo
Nos olvidamo' del mundo
Pensando que esto es el cielo, ey (que esto es el cielo)
Pero cuando nos vemo', nos encendemo'
Solos tú y yo, así nos entendemo'
Nos encontramo' y ahí nos perdemo'

Siempre que me chinga, nos transportamo' al Edén
Arrodillá', esperando a que me lo dé
A ti yo te sigo, como la estrella 'e Belén
Nada nuevo que me lo vuelva a poner

Una habilidad cuando me quitas el sostén
La manzana prohibida, baby, ya la probé
El mundo por tre', entra'o le gané
Fácil tú te viene', difícil es mandarte a detener

Bad boy, los Phillies se desayuna
Y su weed me llevó hasta la luna
Me capea rico y chinga rico
Soy una piquetú'a, le envío pics 'esnú'a
Pa' que eso se toque cuando esté en ayuna'
'Tamos conectado' en formas intrusa'
Este fester en la consciencia me gusta
Me da siempre que resumo pa' una puta

Qué rico se siente (se siente)
Tus labios me dan, me dan una corriente (una corriente)
Qué rico se siente (se siente)
Tus labios me dan, me dan una corriente (me dan una corriente)

Mami, cuando te sientas sola
Llama, mi cielo (Woh)
Nos olvidamo' del mundo
Pensando que esto es el cielo, ey (que esto es el cielo)
Y cuando nos vemo', nos encendemo'
Solo' tú y yo, así nos entendemo'
Nos encontramo' y ahí nos perdemo'
No compré pasto y comoquiera lo prendemo'

Bellaqueando en la luna como un astro
Tú siempre llega' a casa en los horario' alto'
Fuma meno', elevamo' en el cuarto
Esto parece el cielo, pero no somo' unos santo', ey

Tus gato' te los espanto
Qué rico huele cuando se monta en el auto (auto)
En el cuerpo ella se ha puesto un par de canto'
Yo moriría por ella, pero ella por mí ni pa' tanto
Ey, prende

¿Qué es que a ti te da con verme (con verme)?
Esperando el texto ese que dice ""vente""
Se siente sola y detrás tiene como veinte
Baby, si nos pillan junto', que la gente hable mierda (hable mierda)

Que pase lo que tenga que pasar
En la derecha, el Phillie; tus nalga', en la izquierda
Y si conmigo lo que quiere es jugar, pues yo me presto
Manda el texto
Pega'o a ti como un tatuaje en tu cuerpo (cuerpo)
Tú 'tas suelta y yo estoy envuelto (envuelto)
Tú la tiene' y me jode que no te tengo

Pero cuando estés sola
Llama (llama), mi cielo (cielo)
Nos alejamo' del mundo
Pensando que este es el cielo

Y cuando nos vemo', nos encendemo'
Solos tú y yo, así nos entendemo'
Nos encontramo' y ahí nos perdemo'
No compré pasto y comoquiera lo prendemo'

No sé, no sé, no sé ni qué somo'
Me da contigo la nota cuando me...
Oh, yo no sé, no sé
No sé ni qué somo'
Me da contigo la nota cuando me drogo
Ey, ey"
1070,Bing Bong,6s9PpYbExKlHuJ8JMyep21,Yailin la Mas Viral|Puyalo Pantera,4ncaw2cfA3Wlly1tBD2eWt|5O5qjKWtduHgXxeEYbbSxz,Bing Bong,7m6elVzm04Fd2FdKTVAolu,81,2:03,1,2024-11-06,single,QZSYP2434454,2,0.92,0.797,10.0,-4.622,0.0,0.109,0.0087,0.000407,0.212,0.775,134.035,123591.0,4.0,1024898,65.0,"[""dembow""]",Latin,"Mi maldita hermana
Ay-ay, ahí, ay
Ay-ay, prrr, ra

Bing bong (ay)
Bong bong (ay)
Bing bong (ay)
Bong bong (ay)

Gástalo, gástalo (ay)
Muévelo, muévelo (umm)
Quiere dale, ven (ahí)
Quiere dale, ven (ay)
Quiere dale, ven (¿qué?)
Quiere dale, ven (ay)

Quiere dale, ven
Ay, te estoy esperando

Quiere dale, ven
Cuero' como yo casi no se ven
Si no aprovecharon cuando la prendien
Que yo le di el break, pero lo perdien

Soy la perra 'e tu marío
Que te lo tiene fundío
Soy la perra 'e tu marío
Que te lo tiene fundío

Ay-ay, ahí, ay
Ay-ay, ay (me está gustando)

Bing bong (ay)
Bong bong (ay)
Bing bong (ay)
Bong bong (ay)

Bing bong-bong
Usted le entregó y no lo frizó
Usted copiadora, la real soy yo
La que se vivió, lo que usted soñó (mi maldita hermana)
Le doy nota a los cuero'
No sé pa qué tú me retas
Ustedes le ponen fundita
Cuando le rompen la creta

Bing bong (bing bong)
Bong bong (bong bong)
Bing bong
Bong bong (cuando le rompen la creta)

Gástalo, gástalo (umm)
Muévelo, muévelo (ahí)
Quiere dale, ven (ay)
Quiere dale, ven (ahí)
Quiere dale, ven (¿qué?)
Quiere dale, ven (ay)

Pantera
Síguelo puyando, que aún 'ta botando sangre
Dimelo Jay
Quiere dale, ven"
1071,Me Ha Costado,1V14rt4SEpMU1wCdmGz6eB,Neton Vega|Alemán|Victor Mendivil,6pV5zH2LzjOUHaAvENdMMa|4QFG9KrGWEbr6hNA58CAqE|5YqI7p8zYsOpKJtjxYdOce,Mi Vida Mi Muerte,338NDGMHtB4t5mp8RhMnh3,81,3:36,0,2025-02-14,album,US3DF2514824,1,0.792,0.779,2.0,-3.248,1.0,0.223,0.31,5.8e-06,0.515,0.756,89.943,216000.0,4.0,14966910,84.0,"[""corrido"", ""corridos b\u00e9licos"", ""corridos tumbados"", ""dembow belico"", ""electro corridos"", ""latin hip hop"", ""mexican hip hop""]","Hip Hop, Latin, Traditional Music","Pa caerle a Cabo, no pido prestado
Le marco a mi secuaz y volamos las prepago
Y es que el tiempo está contado
Todo lo que tengo me ha costado

De Cancún a Cabo, volvimos rayados
Una quema en La Perla y me la quemé en un gallo
Y es que el tiempo está contado
Todo lo que tengo me ha costado

Lo que tengo me ha costado, las cadenas de oro blanco
Yo les salgo bien trenzado, con el R bien terciado
Y cuando quieran yo les hago, no lo digo por yo ser un cagapalo'
Nomás lo que es y le jalo

Les traigo unas balas de regalo
Júntame ese tussi que ya sabes que lo inhalo, bebé
Tráete otra amiga pa que seamos tres
Tamos en otro puto nivel, ya lo sé

Tenemos pacto, baby, ya te estoy perdiendo el saco
Si tú no me alcanzas, entonces ponte mis zapatos
Ando trabajando bien machín desde chamaco
Hoy tengo el conecte, tengo todos los contactos

Entre puros criminales suena ""bang-bang""
Los malandros y los cholos tiran ""gang-gang""
Andamos todos trameados de Philipp Plein
Y las plebitas en la calle dicen: ""Papi, ven, ven""

Pa caerle a Cabo, no pido prestado
Le marco a mi secuaz y volamos las prepago
Y es que el tiempo está contado
Todo lo que tengo me ha costado

De Cancún a Cabo, volvimos rayados
Una quema en La Perla y me la quemé en un gallo
Y es que el tiempo está contado
Todo lo que tengo me ha costado

Verga, y nunca que me alcanzan
Vengan para acá pa pegarle unos putos balazos en panza
Pa donde sea me arrimo y me sigue toda la mancha
Empezamos vendiendo bolsas de mota en la cancha

Ya dijo: ""Caigo en cinco"", yo aquí traigo una lavada
Vengo con el chupe, brinque y brinque en el Impala
Una onza de cajeta, dejé la mesa en la sala
También un polvo rosa, pero aguanta porque cala

Una corta en la H personalizada
Simón, las cachas doradas
Tengo un cagadero en mi queda atrapada
Pa que no me vean la chompa rayada

No terminé la escuela, pero tengo diploma en la pinche vida
Desde los 15 años andamos en la movida
Cholos que te tumban solo por una pastilla
Yo de tener feria, al chile, me quité la astilla

Vaya hasta el estilo de San Andrés
Ya en Guadalajara ando con la gente del-
Para Mazamitla zumbando en los X3
Siguiendo mis pasos tengo a las X6

Y no casca la verga, la neta que no pone
Les traigo cajeta que me regaló Al Capone
Topones, pa pegarme tengo soluciones
Halcones son los que avisan de preguntones

Entre puros criminales suena ""bang-bang""
Los malandros y los cholos tiran ""gang-gang""
Andamos todos trameados de Philipp Plein
Y las plebitas en la calle dicen: ""Papi, ven, ven"" (bang, bang)

Pa caerle a Cabo, no pido prestado
Le marco a mi secuaz y volamos las prepago
Y es que el tiempo está contado
Todo lo que tengo me ha costado

De Cancún a Cabo, volvimos rayados
Una quema en La Perla y me la quemé en un gallo
Y es que el tiempo está contado
Todo lo que tengo me ha costado

Yeah (oh-oh-oh)"
1072,SORRY 4 THAT MUCH,63pLfjK6FvcYJYMGwtHjd6,Feid,2LRoIwlKmHjgvigdNGBHNo,SORRY 4 THAT MUCH,1kZGpaXOeB48TPT2JatjvC,81,3:27,1,2024-06-07,single,USUM72406641,24,0.819,0.675,7.0,-4.281,1.0,0.0727,0.0318,0.0,0.289,0.602,92.99,207747.0,4.0,19343943,88.0,"[""reggaeton"", ""urbano latino""]",Latin,"Antes de que te vayas a ir
Te quiero dar gracias por lo que pude vivir
Me hiciste tan feliz
Todo este tiempo junto a ti me hizo creer
En todas las cosas que me hablaron de ti

Bebé, si tú nunca cambiaste
Yo ya no soy el que encontraste
Después de todo me pagas así

Estoy mejor sin ti
Así me quede roto
De esa fiesta en Berlín
Solo nos quedan la' foto'
Mami, no llores por mí
Si tú ya tienes a otros
Tú no eras así
Jodiste lo de nosotros

¿En qué puta pensaba?
¿Cómo no vi que tú me engañabas?
Y vos, cagada tras cagada
Yo, arrepentido, ya ni fumaba

Los panas diciéndome que saliéramos
Yo en la casa solo esperando por vos
La chimba, uno no cambia un culo por los bros
No vuelve a pasar, se los juro por Dios

Toa la funda que tengo, con otra la vo'a gastar
Baby, ya no llores, si total vamo a terminar
Bebé, gracias por nada, no te pongas sentimental
Perdóname por tanto, yo pensé que esto era real

Estoy mejor sin ti
Así me quede roto
De esa fiesta en Berlín
Solo nos quedan la' foto'
Mami, no llores por mí
Si tú ya tienes a otros
Tú no eras así
Jodiste lo de nosotros

Te di decline
Yo en mero perreo y tú poniéndote a llamar
Hoy soñé contigo, pero soñé que te vas
Esas indirectas del story, baby, no las mandes más

Porque ya llevo otra noche sin dormir
Pero de la farra que me di
Si hoy me los tomo, no es por ti
Solo chimbas y guaro con las firmas

Antes de que te vayas a ir
Te quiero dar gracias por lo que pude vivir
Me hiciste tan feliz
Todo este tiempo junto a ti me hizo creer
En todas las cosas que me hablaron de ti

Bebé, si tú nunca cambiaste
Yo ya no soy el que encontraste
Después de todo me pagas así

Estoy mejor sin ti
Así me quede roto
De esa fiesta en Berlín
Solo nos quedan la' foto'
Mami, no llores por mí
Si tú ya tienes a otros
Tú no eras así
Jodiste lo de nosotros"
1073,una noche,634CTghcuEDy2FXcTsLG5m,Alleh|Yorghaki,3DeOmVSmpv7WknXoo1OS8p|4eq1q0o9XPyNq9RG3fNDD1,LA CIUDAD,0sWJ3v0FROzcNzyjNYUs6t,81,2:57,0,2024-12-24,album,USLD91769019,1,0.878,0.754,7.0,-3.62,0.0,0.14,0.0214,0.0,0.0911,0.704,122.066,177049.0,4.0,643694,75.0,"['urbano latino', 'latin', 'pop venezolano', 'colombian pop', 'reggaeton chileno', 'chilean trap', 'pop urbano', 'latin afrobeats', 'trap latino', 'reggaeton', 'chilean mambo']","Hip Hop, Latin, Pop","Ay, cómo lo hace'
Con tus caderas tas buscando que pase
Dame la mano y que pase lo que pase
Tienes la habilidad de llevarme a donde vas
Pa hacerme llegar a las alturas como nadie más

Ven, dame una noche, una noche de calor
Con tu cuerpo encantador
Pa que te lleves mi olor
Si no me conoces, soy tu próximo amor
De la noche, el ganador
Solo dime, por favor

Ay, cómo lo hace'
Con tus caderas tas buscando que pase
Dame la mano y que pase lo que pase
Tienes la habilidad de llevarme a donde vas
Pa hacerme llegar a las alturas como nadie más

Llevo días perdido en ti
Desde ese día que te vi
No sabías que querías y yo tampoco
Les di mucho y devolvieron poco
Y ahora que te conocí
Encontré to lo que quería
Dime tú si te atrevería'

Pa que me des la fórmula
Dame los secretos de tu cuerpo, los puedo guardar
Algo te distingue, tú no eres regular
No tienes idea cuánto quiero tus besos, besos, besos

Ven, dame una noche, una noche de calor
Con tu cuerpo encantador
Pa que te lleves mi olor
Si no me conoces, soy tu próximo amor
De la noche, el ganador
Solo dime, por favor

Ay, cómo lo hace'
Y que pase lo que pase
Pegaítos mejor nos vemos
Una noche, una noche
Dame la mano y que pase lo que pase

Pa que me des la fórmula
Dame los secretos de tu cuerpo, los puedo guardar
Algo te distingue, tú no eres regular
No tienes idea cuánto quiero tus besos, besos, besos

Ven, dame una noche, una noche de calor
Con tu cuerpo encantador
Pa que te lleves mi olor
Si no me conoces, soy tu próximo amor
De la noche, el ganador
Solo pido, por favor

Ay, dame una noche
Ay, solo una noche
Ven, que te invito una noche por la ciudad
Y que sea espectacular"
1074,NEL,5AH31dDNgxCMGDdxubNNn4,Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,PERO NO TE ENAMORES,3iRQdNKyI5Pf78jWYI1tFv,81,2:29,1,2024-07-25,album,QZ9QQ2400397,1,0.69,0.482,7.0,-6.335,0.0,0.2,0.523,0.0004,0.0728,0.356,100.029,149074.0,4.0,21657404,92.0,"[""banda"", ""corrido"", ""corridos b\u00e9licos"", ""corridos tumbados"", ""electro corridos"", ""m\u00fasica mexicana"", ""sad sierre\u00f1o"", ""sierre\u00f1o""]","Latin, Traditional Music","Hoy pensé en salir a buscarte, pero nel
Llamarte, pero nel
Otra noche, otro hotel
Palos van más de tres
La loca ni se quién es
La enamoró mi Cartier
Si bien rica pero nel, culoncita pero nel

Colombianas
Pura de diez camaradas
Chanel, Prada
Mami me prendes me mamas
Si tu quieres, te pongo jeepeta y casa
Pieles verdes, esta loquera me encanta

Baby es que me perdí en tus ojos
Desde esa noche mami me tienes bien loco
Whiskey y tequila, y que no falte la de coco
Mami yo te toco, quítame el antojo

Hoy pensé en salir a buscarte, pero nel
Llamarte, pero nel
Otra noche, otro hotel
Palos van más de tres
La loca ni se quién es
La enamoró mi Cartier
Si bien rica pero nel, culoncita pero nel

Tu mi muñequita afferafter
Pal tusi una experta, una master
Preciosa una alérgica al latex
Como lo bates, como lo bates

Tu mi muñequita afferafter
Pal tusi una experta, una master
Preciosa una alérgica al latex
Como lo bates, como lo bates

Baby es que me perdí en tus ojos
Desde esa noche mami me tienes bien loco
Whiskey y tequila, y que no falte la de coco
Mami yo te toco, quítame el antojo

Baby es que me perdí en tus ojos
Desde esa noche mami me tienes bien loco
Whiskey y tequila, y que no falte la de coco
Mami yo te toco, quítame el antojo"
1075,MI EX TENÍA RAZÓN,54zcJnb3tp9c5OVKREZ1Is,KAROL G,790FomKkXshlbRYZFtlgla,MAÑANA SERÁ BONITO (BICHOTA SEASON),0FqAaUEyKCyUNFE1uQPZ7i,81,2:34,0,2023-08-10,album,USUG12305253,20,0.634,0.725,5.0,-4.945,0.0,0.0587,0.0776,0.0,0.211,0.795,159.845,154375.0,4.0,61723613,89.0,"[""latin"", ""reggaeton"", ""urbano latino""]",Latin,"Contigo los días de playa me dan más calor
Por ti me olvidé del pasado y no guardo rencor
Bebé, en la cama me curaste to' lo que me dolía
Me pusiste a latir donde ya no me latía
A ti sí te creo cuando me dices ""mi amor""

Mi ex tenía razón
Dijo que no iba a encontrar uno como él
Y me llegó uno mejor, que me trata mejor
Mi ex tenía razón
Cuando dijo que nadie me lo hará como él
¿Pa' qué le digo que no? Si me lo hace mejor

Todo me gusta al lado de ti
En la fila no me tratan como en Fendi
Y soy un maquinón, pero me tenían empty
Me sentía fea como Betty y ahora soy pretty
En la disco bajándome la botella 'e Moët
Directo pa' la cama pa' que me lo hagan como es
De verdad no sé por qué carajo fue que lloré
Si ahora me doy cuenta que fui yo la que coroné

Contigo, mi amor
Mi cama se lleva mejor, ey
Ya no extraño la vida que tenía
Cuando pienso en lo que decía

Mi ex tenía razón
Dijo que no iba a encontrar uno como él
Y me llegó uno mejor, que me trata mejor
Mi ex tenía razón
Cuando dijo que nadie me lo hará como él
¿Pa' qué le digo que no? Si me lo hace mejor

Mi ex tenía razón
Cuando dijo que nadie me lo hará como él
¿Pa' qué le digo que no? Si me lo hace mejor
Ey, mmm"
1076,BLANCA ROSITA Y MARIA,1wsDxqEDpsvNCatbXHjOje,Tito Double P,5eumcnUkdmGvkvcsx1WFNG,INCÓMODO,27GWSFRITD8JJcSGMgEfTN,81,3:20,1,2024-08-22,album,QM7282480684,1,0.767,0.656,11.0,-6.804,0.0,0.0561,0.3,0.00235,0.139,0.684,129.99,200658.0,3.0,12606001,88.0,"[""corrido"", ""corridos b\u00e9licos"", ""corridos tumbados"", ""dembow belico"", ""electro corridos"", ""m\u00fasica mexicana""]","Latin, Traditional Music","Esta noche vo' a mojar el broche en el Porsche
Traigo una morena, porque güera la de anoche
Traigo tres amigas, Blanca, Rosita y María
Esa, la que no quería, qué bonita es esta vida, ay, mamita

Blanca es muy coqueta, se va al baño y se maquilla
Rosita sorprende, de repente saca amigas
María me cumple mis fantasías y eso que es naturalita
Se me antoja todo el día, mamacita

Morenita, no digas nada, al cabos que estoy en la casa
El grupo ya se va a las cuatro, como te vo'a poner al rato
Morenita, no digas nada, al cabos quе estoy en la casa
El grupo ya se va a las cuatro, como tе vo'a poner al rato

Blanca es muy coqueta, se va al baño y se maquilla
Rosita sorprende, de repente saca amigas
María me cumple mis fantasías y eso que es naturalita
Se me antoja todo el día, mamacita

Morenita, no digas nada, al cabos que estoy en la casa
El grupo ya se va a las cuatro, como te vo'a poner al rato
Morenita, no digas nada, al cabos que estoy en la casa
El grupo ya se va a las cuatro, como te vo'a poner al rato"
1077,Orion,5pVJ3IlnpIorU44oXizzG5,Boza|ELENA ROSE,2NfSBtmWe7oPw1EmetJVso|0zO8yNnw5GQgutcIyXfGBY,Orion,2FWRFIH8Agbw8JGG4hbdG6,81,4:00,0,2024-05-29,single,USSD12400220,3,0.857,0.705,1.0,-4.775,1.0,0.183,0.322,0.00249,0.197,0.874,105.011,240964.0,4.0,1433495,72.5,"[""latin afrobeats"", ""pop urbano"", ""reggaeton"", ""urbano latino""]","Latin, Pop","Pero dime cúal es el secreto que tienes guardado
Que nadie lo ha encontrado
Y eso me tiene embobado
Es que si me pides que te espere, te espero sentado
Tú me tienes en una nube
Todavía no he aterrizado

Ay, si me besas, me desconfigu-gu-guro
Si te dañaron, yo te cu-cu-curo
Yo te quiero pa mí, lo ju-u-uro
Me tienes mal con ese Q-L-O
Si me besas, me desconfigu-gu-guro
Si te dañaron, yo te cu-cu-curo
Yo te quiero pa mí, lo ju-u-uro
Me tienes mal con ese Q-L-O, ese Q-L-O

De tenerte, también tengo ganas
Solo dame chance para asimilar
Que en el pasado me caí bastante
Y con mis heridas no te quiero dañar

De tenerte, también tengo ganas
Solo dame chance para asimilar
Que en el pasado me caí bastante
Y con mis heridas no te quiero dañar

Yo quiero take it slow, slow, slow, slow, slow, eh
Porque a ti no te voy a mentir, no
Solo dame chance, te pido
Mi corazón está como Miami
Siempre bajo construcción
Me pongo primero a mí
Esa es mi única condición

Y es que no te quiero pa namá
Pa namá, pa namá chingarte, eh
Pri, tú me estás gustando mucho
Por eso quiero confesarte, eh
Ay, a la vida que llegaste
Besas muy rico, te pasaste
Quiero pegarte a la pared
Como una obra de arte

Si me besas, me desconfigu-gu-guro
Si te dañaron, yo te cu-cu-curo
Yo te quiero pa mí, lo ju-u-uro
Me tienes mal con ese Q-L-O
Si me besas, me desconfigu-gu-guro
Si te dañaron, yo te cu-cu-curo
Yo te quiero pa mí, lo ju-u-uro
Puedo ser tu lugar seguro

De tenerte, también tengo ganas
Solo dame chance para asimilar
Que en el pasado me caí bastante
Y con mis heridas no te quiero dañar

Ah-ah, me convierto en pirata y robaría tu corazón
Y te haría el amor en el cinturón de Orión
No hay como fallar a semejante mujerón
Te aseguro que eres mi filosofía, y yo, Platón

Entiende que yo soy único, mami, por ende
El menos esperado te sorprende
Y que las heridas sanan y el dolor no dura siempre

Si me besas, me desconfigu-gu-guro
Si te dañaron, yo te cu-cu-curo
Yo te quiero pa mí, lo ju-u-uro
Me tienes mal con ese Q-L-O
Si me besas, me desconfigu-gu-guro
Si te dañaron, yo te cu-cu-curo
Yo te quiero pa mí, lo ju-u-uro
Me tienes mal con ese Q-L-O, ese Q-L-O

De tenerte, también tengo ganas
Solo dame chance para asimilar
Que en el pasado me caí bastante
Y con mis heridas no te quiero dañar

De tenerte, también tengo ganas
Solo dame chance para asimilar
Que en el pasado me caí bastante
Y con mis heridas no te quiero dañar

Venezuela y Panamá
Dímelo, Boza
Elena"
1078,Tu Falta De Querer,4skuEIloXWuxxgekKupkEH,Mon Laferte,4boI7bJtmB1L3b1cuL75Zr,Mon Laferte (Vol. 1),5sG9v1V0gjNbQQiXkYKWe0,81,4:38,0,2015-08-21,album,MXUM71502002,486,0.394,0.475,10.0,-7.935,1.0,0.028,0.0251,0.00749,0.112,0.441,129.995,278547.0,3.0,10827354,80.0,"[""latin alternative""]",Latin,"Hoy volví a dormir en nuestra cama
Y todo sigue igual
El aire y nuestros gatos, nada cambiará
Difícil olvidarte estando aquí, oh, oh, oh

Te quiero ver
Aún te amo y, creo, que hasta más que ayer
La hiedra venenosa no te deja ver
Me siento mutilada y tan pequeña, ah, ah, ah

Ven y cuéntame la verdad
Ten piedad
Y dime por qué, no, no no, oh
¿Cómo fue que me dejaste de amar?
Yo aún podía soportar
Tu tanta falta de querer

Hace un mes solía escucharte
Y ser tu cómplice
Pensé que ya no había nadie más que tú
Yo fui tu amiga y fui tu compañera, ah, ah, ah

Ahora dormiré
Muy profundamente para olvidar
Quisiera hasta la muerte, para no pensar
Me forro pa' quitarme esta amargura, ah, ah, ah

Ven y cuéntame la verdad
Ten piedad
Y dime por qué, no, no no, oh
¿Cómo fue que me dejaste de amar?
Yo aún podía soportar
Tu tanta falta de querer

Ven y cuéntame la verdad
Ten piedad
Y dime por qué, no, no no, oh
¿Cómo fue que me dejaste de amar?
Yo aún podía soportar
Tu tanta falta de querer"
1079,Faded,698ItKASDavgwZ3WjaWjtz,Alan Walker,7vk5e3vY1uw9plTHJAMwjN,Different World,3nzuGtN3nXARvvecier4K0,81,3:32,0,2018-12-14,album,NOG841549010,110,0.468,0.627,6.0,-5.085,1.0,0.0476,0.0281,7.97e-06,0.11,0.159,179.642,212107.0,4.0,41460636,81.0,['electro house'],Electronic,"You were the shadow to my light, did you feel us?
Another star, you fade away
Afraid our aim is out of sight, wanna see us
Alight

Where are you now?
Where are you now?
Where are you now?
Was it all in my fantasy?
Where are you now?
Were you only imaginary?

Where are you now?
Atlantis
Under the sea, under the sea
Where are you now?
Another dream
The monster's running wild inside of me

I'm faded
I'm faded
So lost, I'm faded
I'm faded
So lost, I'm faded

These shallow waters never met what I needed
I'm letting go, a deeper dive
Eternal silence of the sea, I'm breathing
Alive

Where are you now?
Where are you now?
Under the bright but faded lights
You set my heart on fire
Where are you now?
Where are you now?

Where are you now?
Atlantis
Under the sea, under the sea
Where are you now?
Another dream
The monster's running wild inside of me

I'm faded
I'm faded
So lost, I'm faded
I'm faded
So lost, I'm faded"
1080,Without You (feat. Sandro Cavazza),6Pgkp4qUoTmJIPn7ReaGxL,Avicii|Sandro Cavazza,1vCWHaC5f2uS3yhpwWbIA6|5JYo7gm2dkyLLlWHjxS7Dy,AVĪCI (01),1m3mf7xkXIwssVriaaTjOS,81,3:01,1,2017-08-10,single,SE5R71700101,342,0.662,0.858,2.0,-4.844,1.0,0.0428,0.00163,0.0,0.0456,0.295,133.993,181673.0,4.0,23665281,73.0,"[""edm""]","Electronic, Pop","You said that we would always be
Without you, I feel lost at sea
Through the darkness, you'd hide with me
Like the wind, we'd be wild and free

You said you'd follow me anywhere
But your eyes tell me you won't be there

I've gotta learn how to love without you
I've gotta carry my cross without you
Stuck in the middle, and I'm just about to
Figure it out without you
And I'm done sitting home without you
Fuck, I'm going out without you
I'm gonna tear this city down without you
I'm going Bonnie and Clyde without you

Now I'm running away, my dear
From myself and the truth I fear
My heart is beating, I can't see clear
How I'm wishing that you were here

You said you'd follow me anywhere
But your eyes tell me you won't be there

I've gotta learn how to love without you
I've gotta carry my cross without you
Stuck in the middle, and I'm just about to
Figure it out without you
And I'm done sitting home without you
Fuck, I'm going out without you
I'm gonna tear this city down without you
I'm going Bonnie and Clyde without you"
